번호,상호,주소,면적(㎡),전화번호,구분
1,홈플러스(주) 대전둔산점,대전광역시 서구 문예로 107(둔산동),15442,042-611-8000,대형마트
2,홈플러스스토어즈㈜ 대전탄방점,대전광역시 서구 둔산중로 1(탄방동),17098,042-488-8350,대형마트
3,(주)이마트 대전둔산점,대전광역시 서구 둔산북로 41(둔산동),9623,042-479-1234,대형마트
4,㈜이마트트레이더스 월평점,대전광역시 서구 한밭대로 580(월평동),11319,042-718-1234,대형마트
5,롯데슈퍼 둔산점,"대전광역시 서구 청사로 281, 샘머리코아(둔산동)",629,042-471-5608,준대규모점포
6,롯데마겟999 월평점,대전광역시 서구 월평로 32(월평동),152,042-489-8613,준대규모점포
7,롯데슈퍼 정림점,대전광역시 서구 계백로1286번길 49(정림동),964,042-584-2233,준대규모점포
8,홈플러스익스프레스 괴정점,대전광역시 서구 갈마로 257(괴정동),238,042-525-8546,준대규모점포
9,홈플러스익스프레스 관저점,대전광역시 서구 관저북로 71(관저동),265,042-545-8545,준대규모점포
10,홈플러스익스프레스 용문점,대전광역시 서구 계룡로 648(용문동),367,042-528-8546,준대규모점포
11,홈플러스익스프레스 월평점,대전광역시 서구 월평북로 90(월평동),366,042-482-8543,준대규모점포
12,GS슈퍼 월평점,"대전광역시 서구 청사로 65, 황실코아(월평동)",702,042-489-1556,준대규모점포
13,GS슈퍼 도마점,대전광역시 서구 배재로 206(도마동),865,042-536-1002,준대규모점포
14,이마트에브리데이 관저점,"대전광역시 서구 관저중로 70, 관저스포월드(관저동)",1351,042-546-4988,준대규모점포
15,이마트에브리데이 월평점,대전광역시 서구 월평북로 27(월평동),248,042-710-0131,준대규모점포
16,이마트에브리데이 관저효성점,"대전광역시 서구 관저동로 12, 효성해링턴플레이스(관저동)",199,042-710-1141,준대규모점포
17,이마트노브랜드 탄방점,"대전광역시 서구 탄방로 8, 1층(탄방동, 진양빌딩)",345,042-489-8382,준대규모점포
18,이마트노브랜드 관저점,"대전광역시 서구 구봉로 139, 106~116호(관저동, 밀리온빌딩)",410,042-545-8521,준대규모점포
19,이마트노브랜드 둔산점,대전광역시 서구 대덕대로 230 (둔산동),661,042-489-7801,준대규모점포
20,이마트노브랜드 가수원점,대전광역시 서구 도안동로 12번길 9(가수원동),380,042-543-8177,준대규모점포
21,이마트노브랜드 갈마점,대전광역시 서구 신갈마로 186(상가동 1층),423,042-537-8680,준대규모점포
22,홈플러스익스프레스 둔산점,대전광역시 서구 청사로 281(둔산동),223,042-477-8546,준대규모점포
23,홈플러스익스프레스 갈마점,대전광역시 서구 갈마중로 12(갈마동),255,042-535-8546,준대규모점포
24,홈플러스익스프레스 도안2점,대전광역시 서구 원도안로 191(도안동),193,042-545-8591,준대규모점포
25,GS슈퍼 관저북로점,대전광역시 서구 관저북로 21(관저동),330,042-541-8911,준대규모점포
26,롯데마켓999 둔산남로점,대전광역시 서구 둔산남로9번길 39(둔산동),183,042-471-9979,준대규모점포
27,롯데마켓999 대덕대로점,대전광역시 서구 대덕대로175번길 60(둔산동),140,042-472-0313,준대규모점포
28,롯데마켓999 만년점,대전광역시 서구 만년남로11번길 42(만년동),163,042-484-4999,준대규모점포
29,롯데슈퍼 관저가맹점,대전광역시 서구 관저북로 19(관저동),490,042-525-8998,준대규모점포
