연번,등록(신고)일자,상호명,영업소도로명소재지,데이터 기준일자
1,1992-09-26,앗싸노래방,대전광역시 서구 가수원로 63-1 (가수원동),2019-11-11
2,1992-02-26,필 노래연습장,대전광역시 서구 계룡로 658-1 (용문동),2019-11-11
3,1992-02-26,명성 노래연습장,"대전광역시 서구 도솔로 68, 지하층 (도마동)",2019-11-11
4,1992-09-26,똥광 노래연습장,대전광역시 서구 갈마중로 8 (갈마동),2019-11-11
5,1992-09-26,하모니노래연습장,대전광역시 서구 변동로 69-3 (변동),2019-11-11
6,1992-02-26,빙그레노래연습장,대전광역시 서구 도산로 64 (도마동),2019-11-11
7,1992-09-26,뱅크노래연습장,대전광역시 서구 중반5길 10 (변동),2019-11-11
8,1992-09-26,스타노래방,대전광역시 서구 계백로 1466 (도마동),2019-11-11
9,1992-09-26,배제노래연습장,"대전광역시 서구 도솔로 61, 지하층 (도마동)",2019-11-11
10,1992-09-26,도심속노래연습장,대전광역시 서구 도솔로 71 (도마동),2019-11-11
11,1993-09-28,짱노래연습장,대전광역시 서구 도산로 412 (용문동),2019-11-11
12,1993-09-28,갈마노래연습장,대전광역시 서구 신갈마로 155 (갈마동),2019-11-11
13,1993-09-28,쎄븐노래연습장,"대전광역시 서구 도산로 134, 2층 (도마동)",2019-11-11
14,1993-09-28,이화노래연습장,"대전광역시 서구 배재로 182-1, 2층 (도마동)",2019-11-11
15,1993-10-04,세정 노래연습장,대전광역시 서구 문정로170번길 156 (둔산동),2019-11-11
16,1993-09-28,장원노래연습장,"대전광역시 서구 도산로 103, 지하층 (도마동)",2019-11-11
17,1993-10-06,앤노래연습장,대전광역시 서구 탄방로7번길 53 (탄방동),2019-11-11
18,1993-10-06,이브 노래연습장,"대전광역시 서구 둔산남로191번길 38, 지하층 (둔산동)",2019-11-11
19,1993-10-18,달 노래연습장,"대전광역시 서구 탄방로7번길 138, 지하층 (탄방동)",2019-11-11
20,1993-10-22,라인 노래연습장,"대전광역시 서구 갈마로 221, 지하층 (괴정동)",2019-11-11
21,1993-10-22,거인노래연습장,대전광역시 서구 갈마중로 28 (갈마동),2019-11-11
22,1993-10-22,세븐노래연습장,대전광역시 서구 정림로 62-1 (정림동),2019-11-11
23,1993-10-26,맹꽁이노래연습장,대전광역시 서구 둔산남로199번길 27 (둔산동),2019-11-11
24,1993-10-28,차차노래연습장,대전광역시 서구 도마로 54-3 (도마동),2019-11-11
25,1993-10-28,청무지개 노래연습장,대전광역시 서구 갈마로 52 (갈마동),2019-11-11
26,1993-11-09,둘리노래방,대전광역시 서구 도마로 66-3 (도마동),2019-11-11
27,1993-11-09,우리노래연습장,"대전광역시 서구 가장로 94, 지하층 (괴정동)",2019-11-11
28,1993-11-09,잉꼬노래연습장,대전광역시 서구 계룡로354번길 31 (갈마동),2019-11-11
29,1993-11-12,골든벨노래연습장,대전광역시 서구 둔산로218번길 19 (둔산동),2019-11-11
30,1993-11-12,짱 노래연습장,"대전광역시 서구 갈마로 204, 지하층 (내동)",2019-11-11
31,1993-11-16,이화노래연습장,대전광역시 서구 갈마로 9 (갈마동),2019-11-11
32,1993-11-18,황실노래방,"대전광역시 서구 도산로 159, 지하층 (변동)",2019-11-11
33,1993-11-26,싸이 노래연습장,대전광역시 서구 동서대로 987 (내동),2019-11-11
34,1993-11-26,인생공간속에서노래연습장,대전광역시 서구 정림서로 136 (정림동),2019-11-11
35,1993-11-26,캠프노래연습장,대전광역시 서구 남선로59번길 21 (탄방동),2019-11-11
36,1993-12-10,뉴스타노래연습장,대전광역시 서구 정림로 62 (정림동),2019-11-11
37,1993-12-05,행운노래연습장,대전광역시 서구 계룡로299번길 29 (월평동),2019-11-11
38,1993-12-18,샤방샤방 노래연습장,"대전광역시 서구 도산로 52, 2층 (도마동)",2019-11-11
39,1993-12-21,딩동댕노래연습장,대전광역시 서구 월평중로3번길 22 (월평동),2019-11-11
40,1993-12-27,영화노연습장,대전광역시 서구 조달청길 146 (도마동),2019-11-11
41,1993-12-30,대박노래연습장,대전광역시 서구 문정로170번길 31 (둔산동),2019-11-11
42,1993-11-26,럭키 노래연습장,대전광역시 서구 문정로 126 (탄방동),2019-11-11
43,1993-12-10,짱노래연습장,"대전광역시 서구 변동로 60, 가동 지하호 (변동, 변동종합시장)",2019-11-11
44,1993-12-07,쌈바노래연습장,대전광역시 서구 정림동로 11 (정림동),2019-11-11
45,1993-12-30,한마음노래방,대전광역시 서구 도마5길 26 (도마동),2019-11-11
46,1993-09-27,스마트 노래연습장,대전광역시 서구 정림로 60 (정림동),2019-11-11
47,1993-12-07,명품 노래연습장,대전광역시 서구 문정로170번길 152 (둔산동),2019-11-11
48,1993-11-26,허브노래연습장,대전광역시 서구 계백로 1401 (도마동),2019-11-11
49,1994-01-19,수정노래연습장,"대전광역시 서구 둔산로230번길 33, 지하층 (둔산동)",2019-11-11
50,1994-08-05,신나는노래연습장,"대전광역시 서구 변동중로45번길 3, 지하층 (변동)",2019-11-11
51,1994-09-30,즐거운노래연습장,대전광역시 서구 월평로 27-1 (월평동),2019-11-11
