연번,업소명,업소도로명주소,지정일자
1,쌩큐마트,대전광역시 서구 만년로 12. 1층 (만년동),2019-07-30
2,우리마켓,대전광역시 서구 계백로 1111. 상가동 101. 102호 (가수원동. 대전도안엘에이치천년나무행복1단지),2019-07-30
3,벌말마트,대전광역시 서구 복수동로73번길 16. 101호 (복수동),2019-07-25
4,지에스25 관저더샵점,대전광역시 서구 구봉산북로 52. 상가동 106호 (관저동. 관저더샵2차),2019-07-18
5,다모아 토바코,대전광역시 서구 둔산남로 97. 101호 (둔산동),2019-07-17
6,(주)동진에스앤씨,대전광역시 서구 탄방로 106. 1층 (용문동),2019-07-17
7,후레쉬정우마트주식회사,대전광역시 서구 복수동로51번길 22. 정우빌딩 (복수동),2019-07-12
8,(주)지에스리테일 GS25 둔산파크,대전광역시 서구 둔산로73번길 37. 1층 (둔산동),2019-07-10
9,씨스페이스(탄방점),대전광역시 서구 문정로122번길 34. 101호 (탄방동),2019-07-04
10,세븐일레븐 대전갈마타운점,대전광역시 서구 대덕대로168번길 58. 101호 (갈마동),2019-07-02
11,타임 전자담배,대전광역시 서구 둔지로 38. 104호 (둔산동. 플로채),2019-06-27
12,지에스25(GS25) 경성스카이,대전광역시 서구 괴정로11번길 95. 1층 (갈마동),2019-06-24
13,씨유대전관저느리울점,대전광역시 서구 관저동로 88. 관저빌딩 103호 (관저동),2019-06-24
14,씨유 대전둔산서로점,대전광역시 서구 둔산서로 33. 1층 (둔산동),2019-06-24
15,주식회사 필식자재마트,대전광역시 서구 갈마로 33 (갈마동),2019-06-21
16,지에스25(GS25) 관저대자연점,대전광역시 서구 관저북로 52. 106. 107호 (관저동. 대자연마을아파트),2019-06-18
17,파라다이스마트,대전광역시 서구 관저로 177-43. B101. B102호 (관저동),2019-06-11
18,미니스톱 관저중앙점,대전광역시 서구 관저동로105번길 49. 1층 (관저동),2019-06-04
19,(주)코리아세븐 대전타임월드점,대전광역시 서구 둔산로31번길 39. 1층 (둔산동),2019-05-22
20,와우헤어,대전광역시 서구 계룡로354번길 81. 유원빌 1층 (갈마동),2019-05-21
21,휴리움행정사공인중개사사무소,대전광역시 서구 신갈마로 186. 상가동 122호 (갈마동. 갤러리휴리움),2019-05-16
22,꽃보다마트,대전광역시 서구 유등로 437. 1층 (가장동),2019-05-13
23,지에스25(GS25)대전만년점,대전광역시 서구 둔산대로117번길 66. 101호 (만년동),2019-05-09
24,달달양말,대전광역시 서구 관저중로95번길 99. 108호 (관저동),2019-05-08
25,대산컴퓨터자수타올(송림송월),대전광역시 서구 벌곡로 1381 (가수원동),2019-05-02
26,씨유월평원룸점,대전광역시 서구 월평중로24번길 48. 1층 (월평동),2019-04-29
27,지에스25(GS25)월평중앙점,대전광역시 서구 월평중로 2 (월평동),2019-04-25
28,이마트24 대전탄방KT점,대전광역시 서구 문정로48번길 30. KTF대전사옥 1층 (탄방동),2019-04-23
29,지에스25(GS25)대전관저점,대전광역시 서구 관저동로 89 (관저동),2019-04-18
30,가온마트,대전광역시 서구 관저동로 41 (관저동),2019-04-17
31,대전환전소중국식품,대전광역시 서구 월평중로 7 (월평동),2019-04-17
32,씨유변동중앙점,대전광역시 서구 배재로 231. 성우맨션 1층 (변동),2019-04-16
33,세븐일레븐 대전괴정골드점,대전광역시 서구 괴정로 131. 101호 (괴정동),2019-04-16
34,씨유 대전탄방시티점,대전광역시 서구 계룡로509번길 7. 1층 102-1. 102-2호 (탄방동. 시티빌1),2019-04-11
35,세븐일레븐 대전월평로점,대전광역시 서구 월평로14번길 7 (월평동),2019-04-09
36,홈플러스익스프레스 대전갈마점,대전광역시 서구 갈마중로 12 (갈마동),2019-04-09
37,(주)코리아세븐 둔산수정점,대전광역시 서구 대덕대로185번길 27 (둔산동),2019-04-08
38,장터할인마트 자연계란,대전광역시 서구 용소로 49. 1층 (가수원동),2019-04-08
39,갈마 전자담배 멀티샵,대전광역시 서구 신갈마로 148-3. 1층 2호 (갈마동),2019-04-04
40,지에스25(GS25)관저느리울점,대전광역시 서구 관저동로 66. 애드피아빌딩 103호 (관저동),2019-03-27
41,지에스25(GS25) 원앙베스트점,대전광역시 서구 관저북로 78. 상가동 108호 (관저동),2019-03-27
42,다경물류스카이마트 주식회사,대전광역시 서구 관저북로 19. 1층 (관저동),2019-03-20
43,지에스25(GS25)둔산로데오점,대전광역시 서구 문정로 77. 로데오 타운 141호 (탄방동),2019-03-19
44,지에스(GS)25 가수원중앙점,대전광역시 서구 가수원로 106. 7동 208호 (가수원동. 은아아파트3단지),2019-03-15
45,씨스페이스 로또명당점,대전광역시 서구 관저로129번길 3. 1층 (관저동),2019-03-15
46,이마트24 대전변동스타점,대전광역시 서구 변동로 85. 1층 (변동),2019-03-15
47,청솔홈마트,대전광역시 서구 둔산로 223. 상가동 B01호 (둔산동. 청솔아파트),2019-03-15
48,대박마트 관저점,대전광역시 서구 관저로 47. 지하1호 (관저동),2019-03-11
