"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
30170-00048,사정,어린이공원,대전광역시 서구 월평로 24번길 39,대전광역시 서구 월평동 599,36.356767,127.366073,1779.3,윗몸일으키기 외3종,조합놀이대 외2종,-,-,공원등4주 외3종,1981-12-31,대전광역시 서구청,042-611-5736,2020-02-18
30170-00049,반달,어린이공원,대전광역시 서구 월평동 801,대전광역시 서구 월평동 801,36.355381,127.365931,1666,윗몸일으키기 외5종,조합놀이대 외1종,화장실 외1종,-,공원등 5주 외6종,1981-12-31,대전광역시 서구청,042-611-5736,2020-02-18
30170-00050,섬말,어린이공원,대전광역시 서구 월평동 1046,대전광역시 서구 월평동 1046,36.355054,127.360678,1929.1,다리굽혀펴기 외3종,조합놀이대 외2종,음수대 외1종,-,공원등 5주 외7종,1981-12-31,대전광역시 서구청,042-611-5736,2020-02-18
30170-00051,새뜸,어린이공원,대전광역시 서구 월평새뜸로4번길 49-26,대전광역시 서구 월평동 1308,36.353946,127.355318,2069.1,크로스컨트리 외5종,조합놀이대 외2종,-,-,공원등 5주 외6종,1981-12-31,대전광역시 서구청,042-611-5736,2020-02-18
30170-00052,청산,어린이공원,대전광역시 서구 만년동 7,대전광역시 서구 만년동 7,36.367969,127.374785,2266.5,공중걷기 외2종,조합놀이대 외3종,음수대 외1종,-,공원둥 6주 외3종,1991-04-19,대전광역시 서구청,042-611-5736,2020-02-18
30170-00053,중보,어린이공원,대전광역시 서구 만년남로3번길 101,대전광역시 서구 만년동 24,36.3654090394,127.370917,2510.5,게이트볼장 외6종,조합놀이대 외3종,자전거보관대,-,공원등 6주 외4종,1991-04-19,대전광역시 서구청,042-611-5736,2020-02-18
30170-00054,만년,어린이공원,대전광역시 서구 만년동 157,대전광역시 서구 만년동 157,36.366659,127.374162,1725.6,에어서핑 외2종,조합놀이대 외3종,화장실 외1종,-,공원등 5주 외6종,1991-04-19,대전광역시 서구청,042-611-5736,2020-02-18
30170-00055,원모,어린이공원,대전광역시 서구 벌곡로 1379번길 33,대전광역시 서구 가수원동 769-1,36.3038049814,127.3516804416,1703.1,노르딕머신외5종,조합놀이대외4종,음수대외1종,-,공원등6주 외1종,1985-08-13,대전광역시 서구청,042-611-5736,2020-02-18
30170-00056,구봉,어린이공원,대전광역시 서구 가수원중로 43-11,대전광역시 서구 가수원동 788-4,36.300752,127.353078,1875.4,노르딕머신외 5종,조합놀이대외 2종,화장실 외1종,-,공원등6주 외3종,1985-08-13,대전광역시 서구청,042-611-5736,2020-02-18
30170-00057,백야,어린이공원,대전광역시 서구 가수원동 815-6,대전광역시 서구 가수원동 815-6,36.297215,127.354189,1616.9,트위스트외3종,조합놀이대 외4종,화장실,-,공원등5등 외4종,1985-08-13,대전광역시 서구청,042-611-5736,2020-02-18
30170-00058,원앙,어린이공원,대전광역시 서구 관저동 1004,대전광역시 서구 관저동 1004,36.309507,127.335487,3251.9,평행봉 외7종,조합놀이대 외2종,음수대,-,공원등6주 외1종,1995-03-31,대전광역시 서구청,042-611-5736,2020-02-18
30170-00059,봉우재,어린이공원,대전광역시 서구 관저동 985,대전광역시 서구 관저동 985,36.309305,127.338525,10044.2,싸이클링외 3종,조합놀이대 외2종,-,-,공원등5주 외6종,1995-03-31,대전광역시 서구청,042-611-5736,2020-02-18
30170-00060,금성,어린이공원,대전광역시 서구 관저동 991,대전광역시 서구 관저동 991,36.306188,127.338831,4000,크로스컨트리외4종,조합놀이대 외1종,-,-,공원등5주 외3종,1995-03-31,대전광역시 서구청,042-611-5736,2020-02-18
30170-00061,만수,어린이공원,대전광역시 서구 관저동 1000,대전광역시 서구 관저동 1000,36.303627,127.338883,3561.7,크로스컨트리외4종,조합놀이대 외3종,음수대,-,공원등5주 외5종,1995-03-31,대전광역시 서구청,042-611-5736,2020-02-18
30170-00062,금동,어린이공원,대전광역시 서구 관저동 1138,대전광역시 서구 관저동 1138,36.299192,127.325369,2581.1,철봉외6종,조합놀이대 외3종,-,-,공원등8주 외2종,1996-06-26,대전광역시 서구청,042-611-5736,2020-02-18
30170-00063,요동,어린이공원,대전광역시 서구 관저동 1134,대전광역시 서구 관저동 1134,36.299478,127.328711,3008.1,철봉 외 8종,조합놀이대 외 2종,-,-,공원등4주 외6종,1996-06-26,대전광역시 서구청,042-611-5736,2020-02-18
30170-00064,장가동,어린이공원,대전광역시 서구 관저동 1131,대전광역시 서구 관저동 1131,36.299701,127.332103,2994.8,팔굽혀펴기 외8종,조합놀이대 외2종,-,-,공원등4주 외5종,1996-06-26,대전광역시 서구청,042-611-5736,2020-02-18
30170-00065,선암,어린이공원,대전광역시 서구 관저로 129번길 26,대전광역시 서구 관저동 1063,36.3000132216,127.3365044534,1976.5,허리돌리기 외4종,조합놀이대 외1종,자전거보관대,-,공원등2주 외3종,1997-11-26,대전광역시 서구청,042-611-5736,2020-02-18
30170-00066,서당,어린이공원,대전광역시 서구 관저동 1145,대전광역시 서구 관저동 1145,36.297143,127.328356,1504.9,스트레칭로라외4종,조합놀이대 외2종,-,-,공원등4주 외5종,1997-11-26,대전광역시 서구청,042-611-5736,2020-02-18
30170-00067,돌샘,어린이공원,대전광역시 서구 관저동 1149,대전광역시 서구 관저동 1149,36.297545,127.331003,2983.8,농구대외6종,조합놀이대 외1종,-,-,공원등4주 외2종,1997-11-26,대전광역시 서구청,042-611-5736,2020-02-18
30170-00070,모롱이,어린이공원,대전광역시 서구 관저동 1421,대전광역시 서구 관저동 1421,36.301839,127.343176,2501.4,철봉외 7종,조합놀이대 외3종,-,-,공원등4주외2종,1998-12-29,대전광역시 서구청,042-611-5736,2020-02-18
