"설치장소",설치위치,운영시간,발급민원종류,소재지도로명주소,소재지지번주소,관리기관명,전화번호,위도,경도,데이터기준일자
"둔산1동행정복지센터(2대)",1층 민원실,(평일)08:30~18:00,가족관계등록부+제적등본+제적초본+주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 둔산중로65(둔산동),대전광역시 서구 둔산동 1402,대전광역시 서구청,042-288-2911,36.3525176430,127.3860254953,2020-04-17
"갈마2동행정복지센터",1층 민원실,(평일)08:30~18:00,가족관계등록부+제적등본+제적초본+등기부등본+주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 대덕대로147(갈마동),대전광역시 서구 갈마동 1069,대전광역시 서구청,042-288-2911,36.3467676271,127.3748661833,2020-04-17
"관저1동행정복지센터",1층 민원실,(평일)08:30~18:00,가족관계등록부+제적등본+제적초본+등기부등본+주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 관저북로24(관저동),대전광역시 서구 관저동 999-3,대전광역시 서구청,042-288-2911,36.3038570795,127.3373537706,2020-04-17
"시청민원실",2층 시민봉사실 앞,(평일)00:00~24:00+(주말)00:00~24:00,가족관계등록부+제적등본+제적초본+등기부등본+주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 둔산로100(둔산동),대전광역시 서구 둔산동 1420,대전광역시 서구청,042-288-2911,36.3503845453,127.3846335607,2020-04-17
"구청민원실",1층 민원봉사과 앞,(평일)00:00~24:00+(주말)00:00~24:00,가족관계등록부+제적등본+제적초본+주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 둔산서로100(둔산동),대전광역시 서구 둔산동 1300,대전광역시 서구청,042-288-2911,36.3550567227,127.3833597309,2020-04-17
"을지대학병원",1층 관절센터 입구,(평일)00:00~24:00+(주말)00:00~24:00,가족관계등록부+제적등본+제적초본+주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 둔산서로95(둔산동),대전광역시 서구 둔산동 1306,대전광역시 서구청,042-288-2911,36.3552990246,127.3819883412,2020-04-17
"건양대학병원",1층 로비,(평일)00:00~24:00+(주말)00:00~24:00,가족관계등록부+제적등본+제적초본+주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 관저동로158(관저동),대전광역시 서구 관저동 1643,대전광역시 서구청,042-288-2911,36.3077819938,127.3426483376,2020-04-17
"대전지방법원",1층 로비(등기과 앞),(평일)09:00~18:00,가족관계등록부+제적등본+제적초본+주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 둔산중로78번길45(둔산동),대전광역시 서구 둔산동 1390,대전광역시 서구청,042-288-2911,36.3544933472,127.3892572091,2020-04-17
"서대전세무서",1층 민원봉사실 내,(평일)09:00~18:00,가족관계등록부+제적등본+제적초본+주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 둔산서로70(둔산동),대전광역시 서구 둔산동 1296,대전광역시 서구청,042-288-2911,36.3534386965,127.3832091952,2020-04-17
"정부대전청사",1층 열린만남터 앞,(평일)08:00~22:00+(주말)08:00~22:00,가족관계등록부+제적등본+제적초본+주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 청사로189(둔산동),대전광역시 서구 둔산동 920,대전광역시 서구청,042-288-2911,36.3626828972,127.3849035456,2020-04-17
"갤러리아백화점",1층 동문 로비,(평일)00:00~24:00+(주말)00:00~24:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 대덕대로211(둔산동),대전광역시 서구 둔산동 1036,대전광역시 서구청,042-288-2911,36.3519552076,127.3781663831,2020-04-17
"이마트(둔산점)",1층 매장 입구,(평일)10:00~23:00+(주말)10:00~23:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 둔산북로41(둔산동),대전광역시 서구 둔산동 959-2,대전광역시 서구청,042-288-2911,36.3563794433,127.3777644173,2020-04-17
"홈플러스(탄방점)",2층 매장 입구,(평일)10:00~23:00+(주말)10:00~23:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 둔산중로1(탄방동),대전광역시 서구 탄방동 591,대전광역시 서구청,042-288-2911,36.3471579002,127.3858876381,2020-04-17
"이마트(월평점)",1층 은행CD기 옆,(평일)10:00~23:00+(주말)10:00~23:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 한밭대로580(월평동),대전광역시 서구 월평동 510,대전광역시 서구청,042-288-2911,36.3577015103,127.3629215465,2020-04-17
