의료기관종별,의료기관명,의료기관주소(도로명),의료기관전화번호
일반요양병원,둔산엔젤요양병원,"대전광역시 서구 대덕대로 244, 건국타워 9~11층 901호 (둔산동)",042-710-6000
병원,마라톤정형외과병원,"대전광역시 서구 둔산남로 87, 2~6층 (둔산동)",042-719-1199
병원,탄방엠블병원,"대전광역시 서구 문정로48번길 70, 3,6층 (탄방동)",042-1899-2955
병원,글로벌삼육오엠씨병원,"대전광역시 서구 대덕대로 194, 백마빌딩 7~10층 (둔산동)",042-488-3653
병원,탄탄병원,"대전광역시 서구 계룡로553번길 72, 6~11층 (탄방동)",042-476-2580
병원,다빈치병원,대전광역시 서구 계룡로553번길 60 (탄방동),1566-9852
병원,바른생각병원,대전광역시 서구 청사로 128 (월평동),042-337-0001
병원,마인드병원,"대전광역시 서구 대덕대로242번길 48, 6~9층 (둔산동, 유니온빌딩)",042-528-6550
일반요양병원,온누리좋은요양병원,"대전광역시 서구 동서대로 1147, 2층,3층,6층 (가장동, 온누리크리닉)",042-719-1117
일반요양병원,보아스요양병원,대전광역시 서구 도산로 224 (변동),042-537-2000
병원,대전베스트정형외과병원,"대전광역시 서구 문예로 67, 지하1,5~7층 (둔산동)",042-345-7700
병원,킴벨피부과병원,"대전광역시 서구 대덕대로 238, 2층 (둔산동)",042-471-7575
병원,써지탑병원,"대전광역시 서구 대덕대로 238, 4,5,6층 (둔산동)",042-484-9898
일반요양병원,성심요양병원,"대전광역시 서구 갈마로 45 (갈마동, 성심요양병원)",042-533-8275
일반요양병원,둔산요양병원,"대전광역시 서구 둔산중로 38, 9,10층 (둔산동)",042-719-7575
병원,더블유여성병원,"대전광역시 서구 문정로48번길 70, 3,4,5층 (탄방동)",042-485-7777
병원,대전센텀병원,대전광역시 서구 청사로 234 (둔산동),042-472-0100
일반요양병원,푸른요양병원,대전광역시 서구 월평중로 24 (월평동),042-483-9975
병원,바로세움병원,"대전광역시 서구 둔산남로 107, 5,6층 (둔산동)",042-489-8888
일반요양병원,의료법인 정다운의료재단 나진요양병원,대전광역시 서구 갈마로 122 (괴정동),042-525-3800
일반요양병원,의료법인 지덕사의료재단 양녕요양병원,대전광역시 서구 신갈마로 126 (갈마동),528-0001
병원,의료법인삼영의료재단 둔산병원,대전광역시 서구 대덕대로175번길 60 (둔산동),042-488-4671
병원,가톨릭병원,대전광역시 서구 도산로 351 (용문동),042-537-0222
병원,고운손병원,"대전광역시 서구 둔산서로 59, 8,9층 (둔산동)",042-472-7445
병원,서울여성병원,"대전광역시 서구 문정로 7, 신한일빌딩 B1,2~6층 (둔산동)",042-488-8275
일반요양병원,의료법인 선사인혜요양병원,대전광역시 서구 대덕대로317번길 26 (월평동),042-472-0129
일반요양병원,명인의료소비자생활협동조합 한아름요양병원,"대전광역시 서구 계룡로 688, 한아름요양병원 (용문동)",042-536-7575
일반요양병원,의료법인대전참사랑의료재단대전참사랑요양병원,대전광역시 서구 계룡로491번길 8 (둔산동),042-478-9914
병원,에스앤케이병원,"대전광역시 서구 둔산남로 46 (둔산동, 4,5층 BYC사옥)",042-476-9020
일반요양병원,의료법인 고려의료재단 새생명요양병원,"대전광역시 서구 동서대로 1147 (가장동, 4층,7층,8층)",042-534-0875
병원,미즈여성병원,대전광역시 서구 문정로2번길 95 (탄방동),042-483-3575
일반요양병원,세민요양병원,"대전광역시 서구 유등로 491, 지하1,지상1,2,층 5,7,8층호 (용문동)",042-537-7200
병원,허리사랑병원,대전광역시 서구 계룡로 618 (괴정동),042-528-7588
병원,대전우리병원,"대전광역시 서구 문정로48번길 70, 7,8,9,10층 (탄방동)",042-1577-0052
병원,조이병원,대전광역시 서구 계룡로553번길 18 (탄방동),042-485-2235
병원,세우리병원,대전광역시 서구 둔산북로 36 (둔산동),042-478-8000
병원,미래여성병원,대전광역시 서구 대덕대로176번길 15 (둔산동),042-471-7100
정신병원,한마음정신병원,대전광역시 서구 삼보실길 123 (장안동),042-582-9700
병원,연합정형외과병원,대전광역시 서구 계룡로 619 (탄방동),042-536-0911
