연번,사업구분,상호,영업소소재지(도로명)
1,주유소,씨앤에스유통(주) 구도일주유소 도안신도시,대전광역시 서구 도안동로 277 (도안동)
2,주유소,선진주유소,대전광역시 서구 배재로 205 (도마동)
3,주유소,용문주유소,대전광역시 서구 도산로 336 (용문동)
4,주유소,(주)에너비즈 명품주유소,대전광역시 서구 배재로 218 (도마동)
5,주유소,배재로주유소(주),대전광역시 서구 배재로 210 (도마동)
6,주유소,서남부주유소,대전광역시 서구 계백로 1259 (정림동)
7,주유소,그린주유소,대전광역시 서구 동서대로 953 (내동)
8,주유소,황금주유소,대전광역시 서구 동서대로 1081 (내동)
9,주유소,혜천셀프주유소,대전광역시 서구 혜천로 28 (정림동)
10,주유소,SK에너지(주)SK둔산주유소,대전광역시 서구 둔산로 139 (둔산동)
11,주유소,SK네트웍스(주)SK대전청사주유소,대전광역시 서구 대덕대로 188 (둔산동)
12,주유소,SK네트웍스(주)만년교주유소,대전광역시 서구 계룡로 202 (월평동)
13,주유소,창현주유소,대전광역시 서구 계백로 838 (관저동)
14,주유소,㈜가수원하늘셀프주유소,대전광역시 서구 계백로 1176 (가수원동)
15,주유소,기성농협주유소,대전광역시 서구 세점길 7 (흑석동)
16,주유소,지에스칼텍스㈜내동주유소,대전광역시 서구 대덕대로 24 (내동)
17,주유소,지에스칼텍스㈜우리동네주유소,대전광역시 서구 청사로 224 (둔산동)
18,주유소,중도석유(주)월드컵주유소,대전광역시 서구 문정로 12 (탄방동)
19,주유소,중도석유(주) 대덕주유소,대전광역시 서구 월평북로 84 (월평동)
20,주유소,유진주유소,대전광역시 서구 동서대로 1069 (내동)
21,주유소,(주)대림주유소,대전광역시 서구 계백로 1290 (정림동)
22,주유소,백산주유소,대전광역시 서구 동서대로 1068 (변동)
23,주유소,도마주유소,대전광역시 서구 도산로 27 (도마동)
24,주유소,가득주유소,대전광역시 서구 갈마로 322 (가장동)
25,주유소,굿모닝주유소,대전광역시 서구 계백로 1376 (도마동)
26,주유소,동현주유소,대전광역시 서구 계백로 1327 (정림동)
27,주유소,괴정주유소,대전광역시 서구 괴정로 113 (괴정동)
28,주유소,중도석유(주)가장주유소,대전광역시 서구 갈마로 321 (가장동)
29,주유소,(주)탄방주유소,대전광역시 서구 유등로 659 (탄방동)
30,주유소,우리주유소,대전광역시 서구 도산로 216 (변동)
31,주유소,주홍셀프주유소,대전광역시 서구 도산로 475 (탄방동)
32,주유소,배재주유소,대전광역시 서구 도솔5길 5 (도마동)
33,주유소,삼정주유소,대전광역시 서구 대덕대로 384 (만년동)
34,주유소,구도일주유소 한밭,대전광역시 서구 문정로 3 (둔산동)
35,주유소,은하수Self 주유소,대전광역시 서구 도산로 123 (도마동)
36,주유소,삼부주유소,대전광역시 서구 변동로 114 (변동)
37,주유소,가원주유소,대전광역시 서구 갈마로 302 (가장동)
38,주유소,제이에너지(주) 남산주유소,대전광역시 서구 도산로 446 (용문동)
39,주유소,갈마주유소,대전광역시 서구 신갈마로 130 (갈마동)
40,주유소,(주)에너비즈 둔산주유소,대전광역시 서구 유등로 667 (탄방동)
41,주유소,금강주유소,대전광역시 서구 갈마로 174 (괴정동)
42,주유소,현대오일뱅크(주) 직영 신대전셀프주유소,대전광역시 서구 도산로 213 (변동)
43,주유소,중동주유소,대전광역시 서구 계룡로 344 (갈마동)
44,주유소,지에스칼텍스㈜정림주유소,대전광역시 서구 계백로 1277 (정림동)
45,주유소,(주)우전에너지 대솔밭주유소,대전광역시 서구 계백로 902 (관저동)
46,주유소,중도석유(주)도마동주유소,대전광역시 서구 계백로 1371 (도마동)
47,일반판매소,(주)옹달샘에너지,대전광역시 서구 오량4길 15 (복수동)
48,일반판매소,경동석유,대전광역시 서구 계백로1307번길 23 (정림동)
49,일반판매소,이현석유,대전광역시 서구 흑석4길 2 (흑석동)
50,일반판매소,용일석유,대전광역시 서구 조달청길 174 (도마동)
51,일반판매소,경동석유,대전광역시 서구 대신3길 6 (도마동)
52,일반판매소,흥덕석유,대전광역시 서구 대신4길 101  (도마동)
53,일반판매소,충남석유,대전광역시 서구 도마5길 33 (도마동)
54,일반판매소,대성석유,대전광역시 서구 벌곡로1349번길 39 (가수원동)
55,일반판매소,구봉석유,대전광역시 서구 갈마로85번길 35 (갈마동)
