약국명칭,약국전화번호,약국소재지(도로명),약국구분
21세기약국,042-489-0454,"대전광역시 서구 문예로 107, 홈플러스대전둔산점 2층 (둔산동)",한약국
가수원프라자약국,042-543-3132,대전광역시 서구 계백로 1141 (가수원동),약국
가장약국,042-538-5566,"대전광역시 서구 도산로 286, 1층 (가장동)",약국
가장태평양약국,042-526-2000,"대전광역시 서구 동서대로 1147 (가장동, 온누리크리닉)",약국
갈마드림약국,042-531-7551,대전광역시 서구 신갈마로 110-1 (갈마동),약국
갈마약국,042-486-9204,"대전광역시 서구 계룡로 353, 1층 (갈마동)",약국
갤러리비타민약국,042-486-0505,대전광역시 서구 대덕대로 203 (둔산동),약국
건강약국,042-544-8002,대전광역시 서구 계백로 1166-12 (가수원동),약국
건강플러스약국,042-472-3131,"대전광역시 서구 둔산북로 121, 109호 (둔산동, 아너스빌)",약국
건양건강약국,042-543-5243,대전광역시 서구 관저동로 164 (관저동),약국
건양사랑약국,042-543-0561,대전광역시 서구 관저동로 164 (관저동),약국
건양정문약국,042-542-8802,"대전광역시 서구 관저동로 162, 건양프라자 108호 (관저동)",약국
건양행복약국,042-541-6331,"대전광역시 서구 관저동로 162, 109, 206호 (관저동, 건양프라자)",약국
검지약국,042-486-9959,대전광역시 서구 계룡로553번길 72 (탄방동),약국
경보약국,042-484-8520,대전광역시 서구 둔산로 67 (둔산동),약국
고운약국,042-489-1256,"대전광역시 서구 대덕대로 195, 1층 (둔산동, 현대빌딩)",약국
관저길약국,,"대전광역시 서구 구봉로 121, 101호 (관저동)",약국
관저온누리약국,042-541-7570,"대전광역시 서구 관저중로 72, 1층 (관저동)",약국
관저우리약국,042-542-3550,"대전광역시 서구 관저동로 170, 건양 타워 (관저동)",약국
관저종로약국,042-545-1886,"대전광역시 서구 관저북로 25, 104호 (관저동, 월드프라자)",약국
광장약국,042-542-7788,대전광역시 서구 관저북로13번길 23-12 (관저동),약국
광혜당약국,042-527-7573,대전광역시 서구 도산로 200 (변동),약국
괴정약국,042-523-1207,대전광역시 서구 괴정로 106 (괴정동),약국
구미경약국,042-522-7321,"대전광역시 서구 동서대로 1016, 1층 (내동)",약국
구봉온누리약국,042-542-7755,"대전광역시 서구 관저로 84, 107호 (관저동, 구봉마을8단지 상가)",약국
굿모닝약국,042-583-9520,대전광역시 서구 계백로 1280 (정림동),약국
그린약국,042-545-2588,대전광역시 서구 도안중로 306 (도안동),약국
기쁨가득한약국,042-536-0216,"대전광역시 서구 갈마로 79, 1층 102호 (갈마동)",약국
기성약국,042-584-4618,대전광역시 서구 벌곡로 653-1 (흑석동),약국
길조온누리약국,042-544-2440,"대전광역시 서구 도안남로 148, 101호 (관저동, 봉우타워)",약국
나라약국,042-541-5276,대전광역시 서구 관저로 172 (관저동),약국
남화약국,042-477-0252,"대전광역시 서구 청사로 5 (월평동, 하나로아파트상가)",약국
내동우리약국,042-534-3176,"대전광역시 서구 동서대로 981, 1층 (내동)",약국
누리샤크존약국,042-488-0509,"대전광역시 서구 둔산중로 19, 샤크존 1층 (탄방동)",약국
누리약국,042-477-0043,대전광역시 서구 문예로 69 (둔산동),약국
누리태평양약국,042-534-4627,대전광역시 서구 도산로 354 (용문동),약국
뉴굿모닝약국,042-526-6981,대전광역시 서구 계룡로 607 (탄방동),약국
느리울약국,,대전광역시 서구 구봉로 125 (관저동),약국
늘사랑약국,042-545-0074,대전광역시 서구 관저중로95번길 57 (관저동),약국
늘조은약국,042-321-1342,대전광역시 서구 정림로 62-1 (정림동),약국
늘푸른약국,042-476-6763,"대전광역시 서구 대덕대로242번길 26, 1층 (둔산동)",약국
다나약국,042-484-1743,"대전광역시 서구 둔산로 121, 1층 (둔산동, 연당빌딩)",약국
다사랑약국,042-537-5300,"대전광역시 서구 계룡로 618, 1층 (괴정동)",약국
다정약국,042-532-4831,대전광역시 서구 갈마중로 11 (갈마동),약국
대동한약국,042-368-1075,"대전광역시 서구 갈마로261번길 35, 한민시장 1층 1-118호 (괴정동)",한약국
대영온누리약국,042-522-8096,대전광역시 서구 배재로 156 (도마동),약국
대전마더스약국,070-4406-4338,"대전광역시 서구 둔산로 201, 지하1층 (둔산동, 세이브존)",한약국
대전온누리약국,042-543-4119,대전광역시 서구 관저동로 88 (관저동),약국
대전조이약국,042-483-2835,"대전광역시 서구 계룡로553번길 18, 1층 (탄방동)",약국
대전프라자약국,042-486-5454,대전광역시 서구 월평북로 82 (월평동),약국
대청건강약국,042-586-5243,대전광역시 서구 혜천로 15 (정림동),약국
대청정문약국,042-581-1224,대전광역시 서구 혜천로 15 (정림동),약국
더관저우리들약국,042-542-1727,"대전광역시 서구 도안대로 25, 1층 101호 (관저동)",약국
더조은약국,042-361-1127,"대전광역시 서구 정림로 56-10, 155,156호 (정림동)",약국
더타임약국,042-487-3666,"대전광역시 서구 둔산로31번길 21, 1층 (둔산동)",약국
더희망약국,042-488-4050,대전광역시 서구 둔산로 77 (둔산동),약국
도담약국,042-486-7009,대전광역시 서구 대덕대로 189 (둔산동),약국
도마솔약국,042-535-8837,"대전광역시 서구 도산로 63, 도마정형외과 (도마동)",약국
도마약국,042-585-5633,대전광역시 서구 계백로 1410 (도마동),약국
도마태평양약국,042-528-7774,"대전광역시 서구 배재로 182-1, 1층 (도마동)",약국
도마프라자약국,042-582-3344,"대전광역시 서구 도산로 45, 1층 (도마동)",약국
도아약국,042-484-2002,"대전광역시 서구 청사로 148, 1층 102호 (둔산동)",약국
도안종로한약국,042-822-4862,대전광역시 서구 동서대로 696 (도안동),한약국
도토리약국,042-522-9206,대전광역시 서구 도산로 51 (도마동),약국
동민약국,042-523-5000,"대전광역시 서구 계룡로 662-1, 1층 (용문동)",약국
동해약국,042-472-8130,대전광역시 서구 문정로 32 (탄방동),약국
동화약국,042-545-1508,"대전광역시 서구 관저로 157, 206호 (관저동, 하이존상가)",약국
둔산건강약국,042-482-9735,"대전광역시 서구 둔산북로 36, 305호 (둔산동, 대영프라자)",약국
둔산대형약국,042-489-6257,대전광역시 서구 문예로 41 (둔산동),약국
둔산드림팜약국,042-536-5567,대전광역시 서구 대덕대로167번길 5 (갈마동),약국
둔산서강약국,042-487-5647,대전광역시 서구 둔산남로 108 (탄방동),약국
둔산성모약국,042-476-0332,"대전광역시 서구 문예로 43, 지하1층 (둔산동)",약국
둔산시온약국,042-364-2525,"대전광역시 서구 대덕대로176번길 9, 1층 (둔산동)",약국
둔산을지약국,042-489-2751,"대전광역시 서구 대덕대로242번길 48, 1층 (둔산동)",약국
둔산태평양약국,042-482-9990,대전광역시 서구 대덕대로 202 (둔산동),약국
둔산프라자약국,042-476-2662,"대전광역시 서구 문예로 63, 행촌회관 1층 (둔산동)",약국
둔산하늘약국,042-486-3350,"대전광역시 서구 둔산중로 38, 6층 (둔산동, 둔산메트로존)",약국
둔산한솔약국,042-489-8749,"대전광역시 서구 둔산중로 38, 8층 (둔산동, 둔산메트로존빌딩)",약국
둔산행복한약국,042-476-7737,"대전광역시 서구 대덕대로 238, 1층 (둔산동, 킴벨빌딩)",약국
드림약국,042-585-2300,"대전광역시 서구 도안동로 177, 109-1호 (도안동)",약국
들뫼풀한약국,042-536-6080,대전광역시 서구 도마2길 59 (도마동),한약국
라임약국,040-477-0027,"대전광역시 서구 둔산로 144, 지하1층 (둔산동)",약국
래미안종로약국,042-528-0300,"대전광역시 서구 가장로 106, 1층 (가장동)",약국
롯데약국,042-523-6712,"대전광역시 서구 신갈마로 46 (내동, 롯데아파트상가)",약국
마더스약국,042-484-7845,"대전광역시 서구 둔산북로 41, 3층 (둔산동, 이마트)",약국
마음편한약국,042-487-4602,대전광역시 서구 둔산중로 74 (둔산동),약국
마치약국,042-544-4927,대전광역시 서구 구봉로131번길 49 (관저동),약국
만년약국,042-489-5557,대전광역시 서구 만년남로 9 (만년동),약국
맑디맑은약국,070-4408-8279,"대전광역시 서구 한밭대로 580, 신세계이마트 1층 (월평동)",약국
맑은샘약국,042-534-8900,"대전광역시 서구 도산로253번길 45, 108호 (내동)",약국
매일매일행복한약국,042-541-0365,"대전광역시 서구 원도안로 51, 101호 (가수원동, 성광타워)",약국
매일약국,042-533-3482,대전광역시 서구 도산로 91 (도마동),약국
메디팜국화당약국,042-482-7932,"대전광역시 서구 둔산로 201 (둔산동, 국화아파트상가)",약국
메디팜보령약국,042-488-9291,대전광역시 서구 문정로 178 (둔산동),약국
메디팜선심약국,042-522-0656,대전광역시 서구 신갈마로211번길 10-10 (갈마동),약국
메디팜우리약국,042-331-9023,"대전광역시 서구 계룡로553번길 60 (탄방동, 다빈치병원)",약국
메디팜유명약국,042-542-4499,"대전광역시 서구 계백로 1135, 109호 (가수원동)",약국
메디팜큰사랑약국,042-472-9111,"대전광역시 서구 월평로 58, 1층 (월평동)",약국
목화약국,070-7554-4236,"대전광역시 서구 복수서로 50, 103호 (복수동, 삼익목화B상가)",약국
문성온누리약국,042-482-7623,대전광역시 서구 둔산로 232 (둔산동),약국
미라클약국,042-484-9600,"대전광역시 서구 둔산로 52, 미라클빌딩 104호 (둔산동)",약국
미래수약국,042-544-3375,"대전광역시 서구 관저로 83, 2층 (관저동, 신선마을아파트)",약국
미래조이약국,042-485-5485,"대전광역시 서구 대덕대로176번길 15 (둔산동, 미래여성병원)",약국
미소약국,042-528-6688,대전광역시 서구 갈마로 245 (괴정동),약국
미소온누리약국,042-476-8255,"대전광역시 서구 문정로40번길 64, 102호 (탄방동, 메이저타운)",약국
바른약국,042-537-7733,"대전광역시 서구 계룡로 599, 한밭새마을금고 사옥 1층 (탄방동)",약국
박효정약국,042-488-8780,"대전광역시 서구 만년로 45, 105호 (만년동, 초원아파트상가)",약국
백제약국,042-535-8419,"대전광역시 서구 신갈마로 102 (갈마동, 갈마그랜드상가)",약국
베스트약국,042-483-0615,대전광역시 서구 문예로 67 (둔산동),약국
벨라약국,042-545-4580,"대전광역시 서구 관저로 13, 명경프라자 (관저동)",약국
별약국,042-525-1921,"대전광역시 서구 배재로 196, 평강빌딩 1층 (도마동)",약국
보령당약국,042-527-7592,대전광역시 서구 도산로 74 (도마동),약국
보령온누리약국,042-489-9291,"대전광역시 서구 둔산남로 85 (둔산동, 크레온오피스텔)",약국
보리약국,042-717-0777,"대전광역시 서구 한밭대로 745, 지하2층 (둔산동)",약국
봄약국,042-532-1344,대전광역시 서구 동서대로 1072 (변동),약국
블루밍약국,042-525-8383,"대전광역시 서구 도산로253번길 51, 1층 (내동)",약국
비엔씨약국,042-471-0755,대전광역시 서구 대덕대로 183 (둔산동),약국
비전약국,042-581-1161,"대전광역시 서구 계백로 1440, 1층 (도마동)",약국
비타민약국,042-586-1033,"대전광역시 서구 복수북로 42 (복수동, 삼익목화아파트)",약국
사랑약국,042-537-5546,대전광역시 서구 신갈마로 133 (갈마동),약국
산들약국,042-483-0836,대전광역시 서구 둔산로 210-1 (둔산동),약국
삼일약국,042-485-9831,"대전광역시 서구 월평중로 36, 1층 (월평동)",약국
상록약국,042-472-5858,"대전광역시 서구 청사로 281, 120호 (둔산동)",약국
상명약국,042-522-5946,대전광역시 서구 갈마로 259 (괴정동),약국
상아약국,042-471-7320,"대전광역시 서구 둔산로 14, 115호 (둔산동)",약국
새로운대학약국,042-541-0050,"대전광역시 서구 관저동로 162, 건양프라자 (관저동)",약국
새롬약국,042-485-9852,"대전광역시 서구 문정로 131, 1층 (탄방동, 한양프라자상가)",약국
새천년약국,042-533-0583,"대전광역시 서구 도산로 235, 1층 (내동)",약국
서부실로암약국,042-537-4064,"대전광역시 서구 도산로 51, 1층 (도마동)",약국
서울약국,042-582-8797,"대전광역시 서구 계백로 1426, 107호 (도마동)",약국
서울온누리약국,042-488-3893,대전광역시 서구 문정로 7 (둔산동),약국
서정약국,042-533-2938,"대전광역시 서구 계백로 1403, 1층 (도마동)",약국
선사온누리약국,042-472-3485,"대전광역시 서구 청사로 121, 101호 (월평동)",약국
선사일등약국,042-487-9265,대전광역시 서구 청사서로 26 (월평동),약국
선사프라임약국,042-255-8181,"대전광역시 서구 청사로 128, 칼릭스빌딩 106호 (월평동)",약국
선화한약국,042-528-2848,대전광역시 서구 계룡로264번길 4 (월평동),한약국
성모약국,042-585-7898,"대전광역시 서구 계백로 1442, 1층 (도마동)",약국
성원약국,042-485-1231,"대전광역시 서구 문정로 62, 1층 (탄방동)",약국
세란약국,042-486-0214,"대전광역시 서구 둔산로 34, 102호 (둔산동, 씨엔씨타워)",약국
세원약국,042-541-0645,"대전광역시 서구 가수원로 106, 5-108호 (가수원동, 은아3단지상가)",약국
수림약국,042-488-8050,"대전광역시 서구 둔산중로 1, 홈플러스 (탄방동)",한약국
수약국,042-477-7557,"대전광역시 서구 대덕대로 194, 백마빌딩 1층 (둔산동)",약국
수정약국,042-484-1488,"대전광역시 서구 청사로 282, 120호 (둔산동, 수정종합상가)",약국
스마일약국,042-489-4422,대전광역시 서구 둔산남로 107 (둔산동),약국
스마트약국,042-536-5588,대전광역시 서구 대덕대로 164 (갈마동),약국
스타약국,042-484-7255,"대전광역시 서구 구봉로 139, 105호 (관저동)",약국
