"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",갑천초등학교,대전광역시 서구 월평동로61,,36.3608338271,127.367695,대전광역시 서구청,둔산경찰서,Y,2,6~20,2020-02-10
"초등학교",둔산초등학교,대전광역시 서구 둔산로74번길20,,36.3499227774,127.3813738692,대전광역시 서구청,둔산경찰서,Y,2,6~20,2020-02-10
"초등학교",성천초등학교,대전광역시 서구 갈마역로139,,36.3631444966,127.3734828624,대전광역시 서구청,둔산경찰서,Y,2,6~20,2020-02-10
"초등학교",정림초등학교,대전광역시 서구 정림로32,,36.3035439398,127.366553,대전광역시 서구청,서부경찰서,Y,2,6~20,2020-02-10
"초등학교",가수원초등학교,대전광역시 서구 벌곡로 1359,,36.3023952436,127.3530012298,대전광역시 서구청,서부경찰서,Y,1,6~20,2020-02-10
"초등학교",서원초등학교,대전광역시 서구 문정로279,,36.3596290351,127.3939622824,대전광역시 서구청,둔산경찰서,Y,1,6~20,2020-02-10
"초등학교",월평초등학교,대전광역시 서구 월평서로22,,36.3559435325,127.3577706286,대전광역시 서구청,둔산경찰서,Y,1,20,2020-02-10
"초등학교",봉산초등학교,대전광역시 서구 신갈마로141번길45,,36.345201,127.3652656012,대전광역시 서구청,둔산경찰서,Y,1,8~12,2020-02-10
"초등학교",내동초등학교,대전광역시 서구 동서대로1063번길13,,36.3311454399,127.379264,대전광역시 서구청,서부경찰서,Y,2,8~35,2020-02-10
"초등학교",도마초등학교,대전광역시 서구 도솔로175번길28,,36.3264158891,127.372421,대전광역시 서구청,서부경찰서,Y,1,6~20,2020-02-10
"초등학교",복수초등학교,대전광역시 서구 복수4길83,,36.306408,127.370872,대전광역시 서구청,서부경찰서,Y,1,6~12,2020-02-10
"초등학교",한밭초등학교,대전광역시 서구 문정로221,,36.3542715786,127.394285,대전광역시 서구청,둔산경찰서,Y,2,8~25,2020-02-10
"초등학교",둔천초등학교,대전광역시 서구 만년로3,,36.368403,127.373939,대전광역시 서구청,둔산경찰서,Y,2,20~35,2020-02-10
