"시도명",시군구명,어린이집코드,어린이집명,어린이집유형구분,운영현황,우편번호,상세주소,어린이집전화번호,어린이집팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV설치수,보육교직원수,정원수,현원수,위도,경도,통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,제공서비스,데이터기준일자
"대전광역시",서구,8478000172,IBK참좋은어린이집,직장,Y,35260,대전광역시 서구 둔산남로 112 IBK기업은행 2층,042-471-4328,,,3,168,1,,11,40,24,,,미운영,2015-08-26,,,,일반,2020-02-10
"대전광역시",서구,3148017265,가온아이어린이집,민간,Y,35224,대전광역시 서구 신갈마로 239-8 (갈마동),042-485-4817,042-485-4817,,3,132,0,,5,30,19,,,운영,2005-07-16,,,,일반,2020-02-10
"대전광역시",서구,6918000297,가장좋은어린이집,가정,Y,35297,"대전광역시 서구 가장로 107 208동 101호 (가장동, 삼성래미안아파트)",042-535-7955,042-535-7945,,4,110,0,,7,19,19,,,운영,2002-08-22,,,,일반,2020-02-10
"대전광역시",서구,3148902289,갈마어린이집,민간,Y,35282,"대전광역시 서구 신갈마로 95 관리동 (갈마동, 갈마아파트)",042-535-5732,042-384-5732,,5,217,2,,10,49,46,,,미운영,1997-10-15,,,,장애아통합+시간연장형,2020-02-10
"대전광역시",서구,3148030104,갑천어린이집,가정,Y,35201,"대전광역시 서구 만년로 25 101동 101호 (만년동, 강변아파트)",042-483-2399,,,4,67,0,,5,20,19,,,미운영,2011-04-27,,,,일반,2020-02-10
"대전광역시",서구,8828001155,강낭콩어린이집,가정,Y,35386,"대전광역시 서구 가수원로 106 301동 106호 (가수원동, 은아아파트3단지)",042-544-8335,042-544-8335,,3,102,0,,5,18,14,,,운영,2004-03-30,,,,일반,2020-02-10
"대전광역시",서구,3148008408,강변어린이집,민간,Y,35201,"대전광역시 서구 만년로 25 (만년동, 강변아파트)",042-484-8144,,,3,99,1,,9,38,34,,,미운영,2001-03-16,,,,일반,2020-02-10
"대전광역시",서구,3148211509,건양어린이집,직장,Y,35365,대전광역시 서구 관저동로 158 (가수원동),042-600-6501,042-543-8363,kinder.konyang.ac.kr,7,360,1,,19,117,104,,,미운영,2006-12-19,,,,시간연장형,2020-02-10
"대전광역시",서구,6918001340,경성햇살어린이집,가정,Y,35265,"대전광역시 서구 대덕대로 150 126동 108호 (갈마동, 큰마을아파트)",042-362-4309,042-528-4309,,3,60,0,,6,19,18,,,미운영,1995-12-02,,,,일반,2020-02-10
"대전광역시",서구,3148031234,고우나어린이집,가정,Y,35201,"대전광역시 서구 대덕대로 415 107동 106호 (만년동, 상아아파트)",042-487-3503,,,3,90,0,,6,19,19,,,미운영,2008-02-27,,,,일반,2020-02-10
"대전광역시",서구,7608001082,고운맘어린이집,가정,Y,35202,"대전광역시 서구 만년남로 8 108동 108호 (만년동, 상록수아파트)",042-484-0032,,,3,53,0,,5,15,14,,,미운영,2011-05-16,,,,일반,2020-02-10
"대전광역시",서구,3148007452,고은어린이집,가정,Y,35314,"대전광역시 서구 갈마로 262 112동 102호 (내동, 맑은아침아파트)",042-533-8243,,,3,99,0,,7,20,19,,,운영,2004-07-29,,,,일반,2020-02-10
