"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
185-1-000013,월평1동이마트주변,공영,노상,대전광역시 서구 한밭대로580,대전광역시 서구 월평동510,48,1,미시행,평일,08:00,22:00,00:00,00:00,00:00,00:00,유료,10,400,10,300,,,,"현금, 신용카드",,김선영,,36.3577015103,127.3629215465,2020-03-13
185-1-000014,월평2동둔산선사유적지옆,공영,노상,대전광역시 서구 대덕대로317번길9,대전광역시 서구 월평동281,20,1,미시행,평일,08:00,22:00,00:00,00:00,00:00,00:00,유료,10,400,10,300,,,,"현금, 신용카드",,아이티장애인자활센터,042-544-4044,36.3609536952,127.3789363634,2020-03-13
185-1-000016,대전일보~월평타운구간,공영,노상,대전광역시 서구 계룡로264번길43,대전광역시 서구 월평동29-3,44,2,미시행,평일,08:00,22:00,00:00,00:00,00:00,00:00,유료,10,300,10,200,,,,"현금, 신용카드",,김선영,,36.3531804281,127.3608016405,2020-03-13
185-1-000015,탄방동탄방역주변,공영,노상,대전광역시 서구 계룡로553번길38,대전광역시 서구 탄방동667,93,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,10,400,10,300,,,,"현금, 신용카드",,김선영,,36.3446212228,127.3855676708,2020-03-13
185-1-000016,계룡로 주변 노상주차장,공영,노상,대전광역시 서구 대덕대로 176번길75,대전광역시 서구 둔산동1136,221,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,10,400,10,300,,,,"현금, 신용카드",,지체장애인협회,042-483-3447,36.3462950971,127.3795337112,2020-03-13
185-1-000001,만년동서구보건소주변,공영,노상,대전광역시 서구 만년로74,대전광역시 서구 만년동340,117,2,미시행,평일,11:00,20:00,00:00,00:00,00:00,00:00,유료,10,300,10,200,,,,"현금, 신용카드",,김선영,,36.3670892047,127.3811010608,2020-03-13
185-1-000002,법원.검찰청앞갤러리아옆,공영,노상,대전광역시 서구 둔산중로78번길 15,대전광역시 서구 둔산동1390,155,1,미시행,평일,08:00,22:00,00:00,00:00,00:00,00:00,유료,10,400,10,300,,,,"현금, 신용카드",,상이군경회 대전지부,042-581-3253,36.3544587959,127.3876883938,2020-03-13
185-1-000003,법원.검찰청연장노선,공영,노상,대전광역시 서구 둔산중로78번길 15,대전광역시 서구 둔산동1390,80,1,미시행,평일,08:00,22:00,00:00,00:00,00:00,00:00,유료,10,400,10,300,,,,"현금, 신용카드",,사)한국장애인연맹,,36.3544587959,127.3876883938,2020-03-13
185-1-000004,탄방동로데오타운주변,공영,노상,대전광역시 서구 문정로77,대전광역시 서구 탄방동746,57,1,미시행,평일,10:00,20:00,00:00,00:00,00:00,00:00,유료,10,400,10,300,,,,"현금, 신용카드",,현대주차,,36.3473277610,127.3879783246,2020-03-13
185-1-000005,둔산로31번길,공영,노상,대전광역시 서구 둔산로31번길72,대전광역시 서구 둔산동1001,91,1,미시행,평일,08:00,22:00,00:00,00:00,00:00,00:00,유료,10,400,10,300,,,,"현금, 신용카드",,고엽제전우회 대전지부,042-252-6365,36.3548689434,127.3778061390,2020-03-13
185-1-000006,도시철도공사주변,공영,노상,대전광역시 서구 월드컵대로480,대전광역시 서구 월평동160-20,107,2,미시행,평일,08:00,19:00,00:00,00:00,00:00,00:00,유료,10,300,10,200,,,,"현금, 신용카드",,상이군경회 대전지부,042-581-3253,36.3482841955,127.3527002743,2020-03-13
185-1-000007,대전일보 앞,공영,노상,대전광역시 서구 계룡로314,대전광역시 서구 갈마동274-7,64,2,미시행,평일,08:00,22:00,00:00,00:00,00:00,00:00,유료,10,300,10,200,,,,"현금, 신용카드",,김선영,,36.3534196216,127.3639444482,2020-03-13
185-1-000008,서구청 앞,공영,노상,대전광역시 서구 둔산서로100,대전광역시 서구 둔산동1300,142,1,미시행,평일,08:00,18:00,00:00,00:00,00:00,00:00,유료,10,400,10,300,,,,"현금, 신용카드",,노연옥,,36.3550567227,127.3833597309,2020-03-13
185-1-000009,을지병원주변,공영,노상,대전광역시 서구 둔산서로95,대전광역시 서구 둔산동1306,153,1,미시행,평일,08:00,22:00,00:00,00:00,00:00,00:00,유료,10,400,10,300,,,,"현금, 신용카드",,㈜태광실업,042-334-0001,36.3552990246,127.3819883412,2020-03-13
185-1-000010,월평길(월평초~월평중),공영,노상,대전광역시 서구 월평동로21,대전광역시 서구 월평동663,122,1,미시행,평일,08:00,22:00,00:00,00:00,00:00,00:00,유료,10,400,10,300,,,,"현금, 신용카드",,고엽제전우회 대전지부,042-252-6365,36.3566494520,127.3674712067,2020-03-13
185-1-000011,둔지미길(향촌@~파랑새@),공영,노상,대전광역시 서구 둔지로75,대전광역시 서구 둔산동957,143,1,미시행,평일,08:00,22:00,00:00,00:00,00:00,00:00,유료,10,400,10,300,,,,"현금, 신용카드",,상이군경회 대전지부,042-581-3253,36.3563893627,127.3746137305,2020-03-13
185-1-000012,갈마2동큰마을네거리주변,공영,노상,대전광역시 서구 대덕대로164,대전광역시 서구 갈마동1435,46,2,미시행,평일,08:00,20:00,00:00,00:00,00:00,00:00,유료,10,300,10,200,,,,"현금, 신용카드",,김선영,,36.3476524269,127.3766349954,2020-03-13
